Category,GeoLocation
Alcohol,40.79373015200048, -77.86070029399963
Alcohol,18.220833, -66.590149
Alcohol,41.70828019300046, -71.52247031399963
Alcohol,33.998821303000454, -81.04537120699968
Alcohol,44.353130053000484, -100.3735306369997
Alcohol,35.68094058000048, -85.77449091399967
Alcohol,31.827240407000488, -99.42677020599967
Alcohol,
Alcohol,39.360700171000474, -111.58713063499971
Alcohol,43.62538123900049, -72.51764079099962
Alcohol,18.335765, -64.896335
Alcohol,37.54268067400045, -78.45789046299967
Alcohol,47.52227862900048, -120.47001078999972
Alcohol,38.66551020200046, -80.71264013499967
Alcohol,44.39319117400049, -89.81637074199966
Alcohol,43.23554134300048, -108.10983035299967
Alcohol,32.84057112200048, -86.63186076199969
Alcohol,32.84057112200048, -86.63186076199969
Alcohol,32.84057112200048, -86.63186076199969
Alcohol,64.84507995700051, -147.72205903599973
Alcohol,64.84507995700051, -147.72205903599973
Alcohol,64.84507995700051, -147.72205903599973
Alcohol,34.865970280000454, -111.76381127699972
Alcohol,34.865970280000454, -111.76381127699972
Alcohol,34.865970280000454, -111.76381127699972
Alcohol,34.74865012400045, -92.27449074299966
Alcohol,34.74865012400045, -92.27449074299966
Alcohol,34.74865012400045, -92.27449074299966
Alcohol,37.63864012300047, -120.99999953799971
Alcohol,37.63864012300047, -120.99999953799971
Alcohol,37.63864012300047, -120.99999953799971
Alcohol,38.843840757000464, -106.13361092099967
Alcohol,38.843840757000464, -106.13361092099967
Alcohol,38.843840757000464, -106.13361092099967
Alcohol,41.56266102000046, -72.64984095199964
Alcohol,41.56266102000046, -72.64984095199964
Alcohol,41.56266102000046, -72.64984095199964
Alcohol,39.008830667000495, -75.57774116799965
Alcohol,39.008830667000495, -75.57774116799965
Alcohol,39.008830667000495, -75.57774116799965
Alcohol,38.907192, -77.036871
Alcohol,38.907192, -77.036871
Alcohol,38.907192, -77.036871
Alcohol,28.932040377000476, -81.92896053899966
Alcohol,28.932040377000476, -81.92896053899966
Alcohol,28.932040377000476, -81.92896053899966
Alcohol,32.83968109300048, -83.62758034599966
Alcohol,32.83968109300048, -83.62758034599966
Alcohol,32.83968109300048, -83.62758034599966
Alcohol,13.444304, 144.793731
Alcohol,13.444304, 144.793731
Alcohol,13.444304, 144.793731
Alcohol,21.304850435000446, -157.85774940299973
Alcohol,21.304850435000446, -157.85774940299973
Alcohol,21.304850435000446, -157.85774940299973
Alcohol,43.682630005000476, -114.3637300419997
Alcohol,43.682630005000476, -114.3637300419997
Alcohol,43.682630005000476, -114.3637300419997
Alcohol,40.48501028300046, -88.99771017799969
Alcohol,40.48501028300046, -88.99771017799969
Alcohol,40.48501028300046, -88.99771017799969
Alcohol,39.766910452000445, -86.14996019399968
Alcohol,39.766910452000445, -86.14996019399968
Alcohol,39.766910452000445, -86.14996019399968
Alcohol,42.46940091300047, -93.81649055599968
Alcohol,42.46940091300047, -93.81649055599968
Alcohol,42.46940091300047, -93.81649055599968
Alcohol,38.34774030000045, -98.20078122699965
Alcohol,38.34774030000045, -98.20078122699965
Alcohol,38.34774030000045, -98.20078122699965
Alcohol,31.31266064400046, -92.44568007099969
Alcohol,31.31266064400046, -92.44568007099969
Alcohol,31.31266064400046, -92.44568007099969
Alcohol,31.31266064400046, -92.44568007099969
Alcohol,31.31266064400046, -92.44568007099969
Alcohol,31.31266064400046, -92.44568007099969
Alcohol,45.254228894000505, -68.98503133599962
Alcohol,45.254228894000505, -68.98503133599962
Alcohol,45.254228894000505, -68.98503133599962
Alcohol,39.29058096400047, -76.60926011099963
Alcohol,39.29058096400047, -76.60926011099963
Alcohol,39.29058096400047, -76.60926011099963
Alcohol,42.27687047000046, -72.08269067499964
Alcohol,42.27687047000046, -72.08269067499964
Alcohol,42.27687047000046, -72.08269067499964
Alcohol,44.6613195430005, -84.71439026999968
Alcohol,44.6613195430005, -84.71439026999968
Alcohol,44.6613195430005, -84.71439026999968
Alcohol,46.35564873600049, -94.79420050299967
Alcohol,46.35564873600049, -94.79420050299967
Alcohol,46.35564873600049, -94.79420050299967
Alcohol,32.745510099000455, -89.53803082499968
Alcohol,32.745510099000455, -89.53803082499968
Alcohol,32.745510099000455, -89.53803082499968
Alcohol,38.635790776000476, -92.56630005299968
Alcohol,38.635790776000476, -92.56630005299968
Alcohol,38.635790776000476, -92.56630005299968
Alcohol,47.06652897200047, -109.42442064499971
Alcohol,47.06652897200047, -109.42442064499971
Alcohol,47.06652897200047, -109.42442064499971
Alcohol,41.6410409880005, -99.36572062299967
Alcohol,41.6410409880005, -99.36572062299967
Alcohol,41.6410409880005, -99.36572062299967
Alcohol,39.493240390000494, -117.07184056399967
Alcohol,39.493240390000494, -117.07184056399967
Alcohol,39.493240390000494, -117.07184056399967
Alcohol,43.65595011300047, -71.50036091999965
Alcohol,43.65595011300047, -71.50036091999965
Alcohol,43.65595011300047, -71.50036091999965
Alcohol,40.13057004800049, -74.27369128799967
Alcohol,40.13057004800049, -74.27369128799967
Alcohol,40.13057004800049, -74.27369128799967
Alcohol,34.52088095200048, -106.24058098499967
Alcohol,34.52088095200048, -106.24058098499967
Alcohol,34.52088095200048, -106.24058098499967
Alcohol,42.82700103200045, -75.54397042699964
Alcohol,42.82700103200045, -75.54397042699964
Alcohol,42.82700103200045, -75.54397042699964
Alcohol,35.466220975000454, -79.15925046299964
Alcohol,35.466220975000454, -79.15925046299964
Alcohol,35.466220975000454, -79.15925046299964
Alcohol,47.47531977900047, -100.11842104899966
Alcohol,47.47531977900047, -100.11842104899966
Alcohol,47.47531977900047, -100.11842104899966
Alcohol,40.06021014100048, -82.40426005599966
Alcohol,40.06021014100048, -82.40426005599966
Alcohol,40.06021014100048, -82.40426005599966
Alcohol,35.47203135600046, -97.52107021399968
Alcohol,35.47203135600046, -97.52107021399968
Alcohol,35.47203135600046, -97.52107021399968
Alcohol,44.56744942400047, -120.15503132599969
Alcohol,44.56744942400047, -120.15503132599969
Alcohol,44.56744942400047, -120.15503132599969
Alcohol,40.79373015200048, -77.86070029399963
Alcohol,40.79373015200048, -77.86070029399963
Alcohol,40.79373015200048, -77.86070029399963
Alcohol,18.220833, -66.590149
Alcohol,18.220833, -66.590149
Alcohol,18.220833, -66.590149
Alcohol,41.70828019300046, -71.52247031399963
Alcohol,41.70828019300046, -71.52247031399963
Alcohol,41.70828019300046, -71.52247031399963
Alcohol,33.998821303000454, -81.04537120699968
Alcohol,33.998821303000454, -81.04537120699968
Alcohol,33.998821303000454, -81.04537120699968
Alcohol,44.353130053000484, -100.3735306369997
Alcohol,44.353130053000484, -100.3735306369997
Alcohol,44.353130053000484, -100.3735306369997
Alcohol,35.68094058000048, -85.77449091399967
Alcohol,35.68094058000048, -85.77449091399967
Alcohol,35.68094058000048, -85.77449091399967
Alcohol,31.827240407000488, -99.42677020599967
Alcohol,31.827240407000488, -99.42677020599967
Alcohol,31.827240407000488, -99.42677020599967
Alcohol,
Alcohol,
Alcohol,
Alcohol,39.360700171000474, -111.58713063499971
Alcohol,39.360700171000474, -111.58713063499971
Alcohol,39.360700171000474, -111.58713063499971
Alcohol,43.62538123900049, -72.51764079099962
Alcohol,43.62538123900049, -72.51764079099962
Alcohol,43.62538123900049, -72.51764079099962
Alcohol,18.335765, -64.896335
Alcohol,18.335765, -64.896335
Alcohol,18.335765, -64.896335
Alcohol,37.54268067400045, -78.45789046299967
Alcohol,37.54268067400045, -78.45789046299967
Alcohol,37.54268067400045, -78.45789046299967
Alcohol,47.52227862900048, -120.47001078999972
Alcohol,47.52227862900048, -120.47001078999972
Alcohol,47.52227862900048, -120.47001078999972
Alcohol,38.66551020200046, -80.71264013499967
Alcohol,38.66551020200046, -80.71264013499967
Alcohol,38.66551020200046, -80.71264013499967
Alcohol,44.39319117400049, -89.81637074199966
Alcohol,44.39319117400049, -89.81637074199966
Alcohol,44.39319117400049, -89.81637074199966
Alcohol,43.23554134300048, -108.10983035299967
Alcohol,43.23554134300048, -108.10983035299967
Alcohol,43.23554134300048, -108.10983035299967
Alcohol,32.84057112200048, -86.63186076199969
Alcohol,32.84057112200048, -86.63186076199969
Alcohol,32.84057112200048, -86.63186076199969
Alcohol,64.84507995700051, -147.72205903599973
Alcohol,64.84507995700051, -147.72205903599973
Alcohol,64.84507995700051, -147.72205903599973
Alcohol,34.865970280000454, -111.76381127699972
Alcohol,34.865970280000454, -111.76381127699972
Alcohol,34.865970280000454, -111.76381127699972
Alcohol,34.74865012400045, -92.27449074299966
Alcohol,34.74865012400045, -92.27449074299966
Alcohol,34.74865012400045, -92.27449074299966
Alcohol,37.63864012300047, -120.99999953799971
Alcohol,37.63864012300047, -120.99999953799971
Alcohol,37.63864012300047, -120.99999953799971
Alcohol,38.843840757000464, -106.13361092099967
Alcohol,38.843840757000464, -106.13361092099967
Alcohol,38.843840757000464, -106.13361092099967
Alcohol,41.56266102000046, -72.64984095199964
Alcohol,41.56266102000046, -72.64984095199964
Alcohol,41.56266102000046, -72.64984095199964
Alcohol,39.008830667000495, -75.57774116799965
Alcohol,39.008830667000495, -75.57774116799965
Alcohol,39.008830667000495, -75.57774116799965
Alcohol,38.907192, -77.036871
Alcohol,38.907192, -77.036871
Alcohol,38.907192, -77.036871
Alcohol,28.932040377000476, -81.92896053899966
Alcohol,28.932040377000476, -81.92896053899966
Alcohol,28.932040377000476, -81.92896053899966
Alcohol,32.83968109300048, -83.62758034599966
Alcohol,32.83968109300048, -83.62758034599966
Alcohol,32.83968109300048, -83.62758034599966
Alcohol,13.444304, 144.793731
Alcohol,13.444304, 144.793731
Alcohol,13.444304, 144.793731
Alcohol,21.304850435000446, -157.85774940299973
Alcohol,21.304850435000446, -157.85774940299973
Alcohol,21.304850435000446, -157.85774940299973
Alcohol,43.682630005000476, -114.3637300419997
Alcohol,43.682630005000476, -114.3637300419997
Alcohol,43.682630005000476, -114.3637300419997
Alcohol,40.48501028300046, -88.99771017799969
Alcohol,40.48501028300046, -88.99771017799969
Alcohol,40.48501028300046, -88.99771017799969
Alcohol,39.766910452000445, -86.14996019399968
Alcohol,39.766910452000445, -86.14996019399968
Alcohol,39.766910452000445, -86.14996019399968
Alcohol,42.46940091300047, -93.81649055599968
Alcohol,42.46940091300047, -93.81649055599968
Alcohol,42.46940091300047, -93.81649055599968
Alcohol,38.34774030000045, -98.20078122699965
Alcohol,38.34774030000045, -98.20078122699965
Alcohol,38.34774030000045, -98.20078122699965
Alcohol,31.31266064400046, -92.44568007099969
Alcohol,31.31266064400046, -92.44568007099969
Alcohol,31.31266064400046, -92.44568007099969
Alcohol,31.31266064400046, -92.44568007099969
Alcohol,31.31266064400046, -92.44568007099969
Alcohol,31.31266064400046, -92.44568007099969
Alcohol,45.254228894000505, -68.98503133599962
Alcohol,45.254228894000505, -68.98503133599962
Alcohol,45.254228894000505, -68.98503133599962
Alcohol,39.29058096400047, -76.60926011099963
Alcohol,39.29058096400047, -76.60926011099963
Alcohol,39.29058096400047, -76.60926011099963
Alcohol,42.27687047000046, -72.08269067499964
Alcohol,42.27687047000046, -72.08269067499964
Alcohol,42.27687047000046, -72.08269067499964
Alcohol,44.6613195430005, -84.71439026999968
Alcohol,44.6613195430005, -84.71439026999968
Alcohol,44.6613195430005, -84.71439026999968
Alcohol,46.35564873600049, -94.79420050299967
Alcohol,46.35564873600049, -94.79420050299967
Alcohol,46.35564873600049, -94.79420050299967
Alcohol,32.745510099000455, -89.53803082499968
Alcohol,32.745510099000455, -89.53803082499968
Alcohol,32.745510099000455, -89.53803082499968
Alcohol,38.635790776000476, -92.56630005299968
Alcohol,38.635790776000476, -92.56630005299968
Alcohol,38.635790776000476, -92.56630005299968
Alcohol,47.06652897200047, -109.42442064499971
Alcohol,47.06652897200047, -109.42442064499971
Alcohol,47.06652897200047, -109.42442064499971
Alcohol,41.6410409880005, -99.36572062299967
Alcohol,41.6410409880005, -99.36572062299967
Alcohol,41.6410409880005, -99.36572062299967
Alcohol,39.493240390000494, -117.07184056399967
Alcohol,39.493240390000494, -117.07184056399967
Alcohol,39.493240390000494, -117.07184056399967
Alcohol,43.65595011300047, -71.50036091999965
Alcohol,43.65595011300047, -71.50036091999965
Alcohol,43.65595011300047, -71.50036091999965
Alcohol,40.13057004800049, -74.27369128799967
Alcohol,40.13057004800049, -74.27369128799967
Alcohol,40.13057004800049, -74.27369128799967
Alcohol,34.52088095200048, -106.24058098499967
Alcohol,34.52088095200048, -106.24058098499967
Alcohol,34.52088095200048, -106.24058098499967
Alcohol,42.82700103200045, -75.54397042699964
Alcohol,42.82700103200045, -75.54397042699964
Alcohol,42.82700103200045, -75.54397042699964
Alcohol,35.466220975000454, -79.15925046299964
Alcohol,35.466220975000454, -79.15925046299964
Alcohol,35.466220975000454, -79.15925046299964
Alcohol,47.47531977900047, -100.11842104899966
Alcohol,47.47531977900047, -100.11842104899966
Alcohol,47.47531977900047, -100.11842104899966
Alcohol,40.06021014100048, -82.40426005599966
Alcohol,40.06021014100048, -82.40426005599966
Alcohol,40.06021014100048, -82.40426005599966
Alcohol,35.47203135600046, -97.52107021399968
Alcohol,35.47203135600046, -97.52107021399968
Alcohol,35.47203135600046, -97.52107021399968
Alcohol,44.56744942400047, -120.15503132599969
Alcohol,44.56744942400047, -120.15503132599969
Alcohol,44.56744942400047, -120.15503132599969
Alcohol,40.79373015200048, -77.86070029399963
Alcohol,40.79373015200048, -77.86070029399963
Alcohol,40.79373015200048, -77.86070029399963
Alcohol,18.220833, -66.590149
Alcohol,18.220833, -66.590149
Alcohol,18.220833, -66.590149
Alcohol,41.70828019300046, -71.52247031399963
Alcohol,41.70828019300046, -71.52247031399963
Alcohol,41.70828019300046, -71.52247031399963
Alcohol,33.998821303000454, -81.04537120699968
Alcohol,33.998821303000454, -81.04537120699968
Alcohol,33.998821303000454, -81.04537120699968
Alcohol,44.353130053000484, -100.3735306369997
Alcohol,44.353130053000484, -100.3735306369997
Alcohol,44.353130053000484, -100.3735306369997
Alcohol,35.68094058000048, -85.77449091399967
Alcohol,35.68094058000048, -85.77449091399967
Alcohol,35.68094058000048, -85.77449091399967
Alcohol,31.827240407000488, -99.42677020599967
Alcohol,31.827240407000488, -99.42677020599967
Alcohol,31.827240407000488, -99.42677020599967
Alcohol,
Alcohol,
Alcohol,
Alcohol,39.360700171000474, -111.58713063499971
Alcohol,39.360700171000474, -111.58713063499971
Alcohol,39.360700171000474, -111.58713063499971
Alcohol,43.62538123900049, -72.51764079099962
Alcohol,43.62538123900049, -72.51764079099962
Alcohol,43.62538123900049, -72.51764079099962
Alcohol,18.335765, -64.896335
Alcohol,18.335765, -64.896335
Alcohol,18.335765, -64.896335
Alcohol,37.54268067400045, -78.45789046299967
Alcohol,37.54268067400045, -78.45789046299967
Alcohol,37.54268067400045, -78.45789046299967
Alcohol,47.52227862900048, -120.47001078999972
Alcohol,47.52227862900048, -120.47001078999972
Alcohol,47.52227862900048, -120.47001078999972
Alcohol,38.66551020200046, -80.71264013499967
Alcohol,38.66551020200046, -80.71264013499967
Alcohol,38.66551020200046, -80.71264013499967
Alcohol,44.39319117400049, -89.81637074199966
Alcohol,44.39319117400049, -89.81637074199966
Alcohol,44.39319117400049, -89.81637074199966
Alcohol,43.23554134300048, -108.10983035299967
Alcohol,43.23554134300048, -108.10983035299967
Alcohol,43.23554134300048, -108.10983035299967
Alcohol,32.84057112200048, -86.63186076199969
Alcohol,64.84507995700051, -147.72205903599973
Alcohol,34.865970280000454, -111.76381127699972
Alcohol,34.74865012400045, -92.27449074299966
Alcohol,37.63864012300047, -120.99999953799971
Alcohol,38.843840757000464, -106.13361092099967
Alcohol,41.56266102000046, -72.64984095199964
Alcohol,39.008830667000495, -75.57774116799965
Alcohol,38.907192, -77.036871
Alcohol,28.932040377000476, -81.92896053899966
Alcohol,32.83968109300048, -83.62758034599966
Alcohol,13.444304, 144.793731
Alcohol,21.304850435000446, -157.85774940299973
Alcohol,43.682630005000476, -114.3637300419997
Alcohol,40.48501028300046, -88.99771017799969
Alcohol,39.766910452000445, -86.14996019399968
Alcohol,42.46940091300047, -93.81649055599968
Alcohol,38.34774030000045, -98.20078122699965
Alcohol,31.31266064400046, -92.44568007099969
Alcohol,31.31266064400046, -92.44568007099969
Alcohol,45.254228894000505, -68.98503133599962
Alcohol,39.29058096400047, -76.60926011099963
Alcohol,42.27687047000046, -72.08269067499964
Alcohol,44.6613195430005, -84.71439026999968
Alcohol,46.35564873600049, -94.79420050299967
Alcohol,32.745510099000455, -89.53803082499968
Alcohol,38.635790776000476, -92.56630005299968
Alcohol,47.06652897200047, -109.42442064499971
Alcohol,41.6410409880005, -99.36572062299967
Alcohol,39.493240390000494, -117.07184056399967
Alcohol,43.65595011300047, -71.50036091999965
Alcohol,40.13057004800049, -74.27369128799967
Alcohol,34.52088095200048, -106.24058098499967
Alcohol,42.82700103200045, -75.54397042699964
Alcohol,35.466220975000454, -79.15925046299964
Alcohol,47.47531977900047, -100.11842104899966
Alcohol,40.06021014100048, -82.40426005599966
Alcohol,35.47203135600046, -97.52107021399968
Alcohol,44.56744942400047, -120.15503132599969
Alcohol,40.79373015200048, -77.86070029399963
Alcohol,18.220833, -66.590149
Alcohol,41.70828019300046, -71.52247031399963
Alcohol,33.998821303000454, -81.04537120699968
Alcohol,44.353130053000484, -100.3735306369997
Alcohol,35.68094058000048, -85.77449091399967
Alcohol,31.827240407000488, -99.42677020599967
Alcohol,
Alcohol,39.360700171000474, -111.58713063499971
Alcohol,43.62538123900049, -72.51764079099962
Alcohol,18.335765, -64.896335
Alcohol,37.54268067400045, -78.45789046299967
Alcohol,47.52227862900048, -120.47001078999972
Alcohol,38.66551020200046, -80.71264013499967
Alcohol,44.39319117400049, -89.81637074199966
Alcohol,43.23554134300048, -108.10983035299967
Alcohol,32.84057112200048, -86.63186076199969
Alcohol,32.84057112200048, -86.63186076199969
Alcohol,32.84057112200048, -86.63186076199969
Alcohol,64.84507995700051, -147.72205903599973
Alcohol,64.84507995700051, -147.72205903599973
Alcohol,64.84507995700051, -147.72205903599973
Alcohol,34.865970280000454, -111.76381127699972
Alcohol,34.865970280000454, -111.76381127699972
Alcohol,34.865970280000454, -111.76381127699972
Alcohol,34.74865012400045, -92.27449074299966
Alcohol,34.74865012400045, -92.27449074299966
Alcohol,34.74865012400045, -92.27449074299966
Alcohol,37.63864012300047, -120.99999953799971
Alcohol,37.63864012300047, -120.99999953799971
Alcohol,37.63864012300047, -120.99999953799971
Alcohol,38.843840757000464, -106.13361092099967
Alcohol,38.843840757000464, -106.13361092099967
Alcohol,38.843840757000464, -106.13361092099967
Alcohol,41.56266102000046, -72.64984095199964
Alcohol,41.56266102000046, -72.64984095199964
Alcohol,41.56266102000046, -72.64984095199964
